Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode,country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,female_parl_ratio,female_labor_ratio
Latin America-Caribbean,Jamaica,2020,2830739.0,68.61232758,0.015954982,23.74363899,0.001242755,0.036873739,0.017727759,7.57223177,1,388,Jamaica,2020,JAM,2830745.0,18402554628.0,0.38,0.134,6.866,-2.574,-27.265,6.405,-2.694,-29.606,2.263,0.348,221.486,2.425,0.373,237.437,0.275,0.097,7.902,2.792,0.429,14.478,453.511,628.957,5.85,0.0,2.355,365.105,430.828,,10215.15,1.571,0.0,0.0,1.384,0.489,2.609,2.637,-0.461,-0.163,0.771,0.272,0.357,0.126,4.827,1.705,,,28.916,0.023,0.02,0.016,0.002,0.033,0.027,0.024,0.001,0.0,0.001,0.041,0.073,,0.0,0.018,-0.01,0.044,,0.024,0.0,0.0,0.0,0.0,7.466,7.386,1.036,15.096,28.5714285714286,57.579
Asia-Pacific,Japan,2020,126304543.0,2.249630213,0.16997391,57.45616913,37.20560837,0.031737354,0.001376222,2.885504961,1,392,Japan,2020,JPN,126304533.0,4626661481209.0,24.49,0.194,1037.285,-64.778,-5.878,1038.664,-60.849,-5.534,8.223,0.224,215.257,8.213,0.224,214.971,395.042,3.128,1183.779,9.372,0.256,2015.957,65575.352,70828.602,23573.246,15.798,6826.821,5518.998,32666.672,476.861,38203.219,1.043,0.408,0.003,222.213,1.759,8.419,8.556,1.379,0.011,29.722,0.235,18.744,0.148,383.172,3.034,0.095,11.96,4825.24,1.508,2.95,2.618,2.769,4.641,3.862,2.744,2.992,0.085,2.785,0.621,5.538,3.625,0.102,2.955,0.031,3.505,2.889,2.157,0.002,0.031,0.034,0.001,1080.603,1063.333,146.495,14.123,9.89247311827957,53.09
Middle East-North Africa,Jordan,2020,10865227.5,2.809163332,97.08689117,0.047398046,0.018849416,0.027908115,0.0,0.009790716,1,400,Jordan,2020,JOR,10865232.0,94554674762.0,1.341,0.123,20.622,-3.948,-16.069,20.951,-4.213,-16.742,1.928,0.222,210.728,1.898,0.218,207.41,0.619,0.057,28.94,2.664,0.306,60.591,703.438,762.839,6.665,0.012,88.171,79.874,547.999,,9150.646,1.051,0.0,0.0,7.36,0.677,2.42,2.53,0.33,0.03,5.426,0.499,1.449,0.133,11.301,1.04,,,99.424,0.083,0.059,0.053,0.004,0.139,0.041,0.03,0.001,0.0,0.036,0.009,0.093,,0.0,0.098,0.007,0.103,,0.033,0.0,0.0,0.001,0.0,27.494,26.296,8.319,40.341,11.5384615384615,14.975
Asia-Pacific,Kazakhstan,2020,19482117.0,19.29185677,77.90452576,2.534446478,0.091090441,0.0,0.042062771,0.13601622,1,398,Kazakhstan,2020,KAZ,19482116.0,468733212615.0,4.45,0.228,281.789,-14.25,-4.814,275.781,-11.957,-4.155,14.156,0.588,374.735,14.464,0.601,382.899,184.964,9.494,218.512,11.216,0.466,121.251,13845.011,17908.553,9374.199,334.717,1175.148,4190.128,2750.271,89.424,37774.996,1.57,9.363,0.481,32.117,1.649,16.281,19.035,-6.008,-0.308,52.083,2.673,11.568,0.594,47.217,2.424,0.189,3.679,735.937,0.274,0.801,0.695,1.296,0.279,0.815,0.694,1.19,1.808,0.479,0.472,0.466,0.68,2.341,0.427,-0.133,0.432,0.889,0.83,0.002,0.01,0.013,0.001,370.84,317.189,-63.277,-22.455,27.1028037383178,63.607
Sub-Saharan Africa,Kenya,2020,52217333.5,85.67028809,10.93115425,1.603437185,0.000961802,0.127907932,0.000577081,1.665675163,1,404,Kenya,2020,KEN,52217327.0,168031463891.0,1.963,0.038,19.99,1.831,10.082,42.233,0.084,0.2,0.809,0.251,516.726,0.383,0.119,244.572,1.92,0.037,31.237,0.598,0.186,46.271,467.762,3055.048,24.76,0.0,,3303.501,396.73,,1565.243,0.486,0.0,0.0,,,0.684,2.005,22.244,0.426,54.435,1.042,21.975,0.421,16.106,0.308,,,81.733,0.121,0.057,0.106,0.013,0.107,0.028,0.118,0.003,0.0,,0.372,0.067,,0.0,,0.492,0.147,,0.191,0.002,0.001,0.003,0.0,104.682,35.719,11.248,56.269,21.7765042979943,62.167
Asia-Pacific,Kiribati,2020,126099.001,97.57009888,0.08540649,0.100478217,0.0,0.0,0.0,2.244013548,1,296,Kiribati,2020,KIR,126110.0,,0.0,0.0,0.07,0.0,0.0,0.07,0.0,0.0,0.552,,223.64,0.552,,223.64,,,,,,0.0,2.048,2.048,,0.0,,0.0,2.048,,2468.371,,0.0,0.0,,,0.76,0.835,0.0,0.0,0.029,0.229,0.007,0.054,0.07,0.552,,,0.311,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.001,,0.0,0.0,0.0,0.0,0.0,0.105,0.096,,,8.88888888888889,
Europe,Kosovo,2020,1751417.0,5.598325253,94.26040649,0.139033571,0.0,0.0,0.002231373,0.0,1,412,Kosovo,2020,,1751413.0,,0.182,0.104,8.452,0.066,0.783,,,,,,,4.826,,297.89,6.094,3.48,,,,3.149,154.788,,117.116,0.0,,,34.523,,16199.065,,0.0,0.0,,,,,,,,,,,2.175,1.242,,,28.371,0.011,0.024,,0.043,0.007,0.009,,0.015,0.0,,,0.006,,0.0,,,0.02,,0.004,,0.0,0.0,,,,,,,
Middle East-North Africa,Kuwait,2020,4400144.0,10.53036976,80.23990631,0.248254478,0.121455498,8.504200935,0.010824583,0.34498772,1,414,Kuwait,2020,KWT,4400146.0,199796812404.0,1.373,0.312,90.103,-14.552,-13.904,90.113,-14.551,-13.903,20.48,0.451,214.72,20.477,0.451,214.694,0.163,0.037,97.695,22.203,0.489,34.784,3419.518,3419.484,5.644,349.446,1019.168,-1.508,2009.041,,95378.398,2.101,1.389,0.316,51.688,11.747,28.956,29.08,0.011,0.002,36.763,8.355,1.086,0.247,35.49,8.066,,,419.679,0.085,0.256,0.227,0.001,0.08,0.201,0.132,0.001,1.888,0.416,-0.0,0.341,,0.347,0.687,0.0,0.325,,0.204,0.002,0.002,0.003,0.0,127.957,127.409,7.592,8.426,6.34920634920635,46.538
Asia-Pacific,Kyrgyzstan,2020,6664139.5,5.753356934,91.71746826,1.16977489,0.032685466,0.009338705,0.004669352,1.312705517,1,417,Kyrgyzstan,2020,KGZ,6664143.0,28560253227.0,0.889,0.133,8.348,-0.698,-7.717,8.144,-0.688,-7.788,1.222,0.285,193.805,1.253,0.292,198.662,3.174,0.476,16.241,2.437,0.569,31.941,838.45,1202.171,405.801,5.557,86.705,373.006,308.447,,6305.917,1.471,0.0,0.0,0.649,0.097,1.772,2.852,-0.204,-0.031,7.461,1.12,1.871,0.281,3.636,0.546,,,42.024,0.055,0.024,0.021,0.022,0.074,0.049,0.047,0.051,0.03,0.035,0.042,0.052,,0.0,0.009,-0.005,0.033,,0.06,0.0,0.001,0.001,0.0,19.007,11.807,7.893,94.54,16.5217391304348,43.877
Asia-Pacific,Laos,2020,7346532.5,1.539444566,0.022150202,0.052833665,64.16296387,0.0,0.0,34.22260666,1,418,Laos,2020,LAO,7346534.0,50856670244.0,2.351,0.32,18.294,-0.046,-0.253,40.409,-2.565,-5.969,5.5,0.795,604.962,2.49,0.36,273.873,13.293,1.809,14.101,1.919,0.277,14.791,150.065,2449.719,80.407,0.0,,3212.324,54.867,,9092.153,1.313,0.0,0.0,,,2.867,7.817,22.115,3.01,10.547,1.436,3.447,0.469,2.649,0.361,,,66.796,0.145,0.052,0.102,0.093,0.034,0.009,0.095,0.01,0.0,,0.362,0.009,,0.0,,0.49,0.024,,0.112,0.0,0.001,0.002,0.0,57.424,21.06,-4.192,-22.917,27.5167785234899,58.68
Europe,Latvia,2020,1901123.5,77.26760101,0.670408607,16.97382164,0.069054514,0.043224961,0.226667479,4.749224663,1,428,Latvia,2020,LVA,1901119.0,48292861660.0,0.551,0.29,6.999,-0.634,-8.308,8.899,-0.66,-6.906,4.681,0.184,215.887,3.682,0.145,169.8,0.1,0.053,13.424,7.061,0.278,16.021,953.872,1802.934,152.329,1.558,155.251,915.006,626.622,2.091,21682.367,0.854,0.0,0.0,2.103,1.106,4.456,7.376,1.9,0.999,2.311,1.215,2.247,1.182,4.174,2.195,0.038,0.072,41.221,0.034,0.02,0.022,0.001,0.037,0.056,0.07,0.019,0.008,0.063,0.103,0.106,0.016,0.0,0.028,0.042,0.038,0.017,0.056,0.0,0.001,0.001,0.0,14.023,8.471,6.425,91.79,30.0,55.844
Middle East-North Africa,Lebanon,2020,5702397.5,27.906147,67.78356171,0.018806541,0.00663968,0.017323207,0.005650791,4.261873722,1,422,Lebanon,2020,LBN,5702400.0,50772560784.0,0.853,0.15,23.694,-1.447,-5.756,23.787,-1.522,-6.012,4.171,0.469,238.811,4.155,0.467,237.877,0.044,0.008,,,,68.923,728.681,739.625,13.89,0.0,,18.499,645.289,,17467.385,1.962,0.0,0.0,,,4.867,5.005,0.093,0.016,3.759,0.659,1.072,0.188,22.797,3.998,,,99.606,0.052,0.067,0.06,0.0,0.159,0.043,0.029,0.002,0.0,,0.002,0.109,,0.0,,0.002,0.209,,0.03,0.0,0.0,0.0,0.0,28.543,27.754,,,4.6875,25.944
Sub-Saharan Africa,Lesotho,2020,2235726.5,97.32347107,0.218460709,1.664903402,2.26578e-05,0.044363603,0.00443636,0.744344056,1,426,Lesotho,2020,LSO,2235727.0,4623560803.0,0.0,0.0,1.986,-0.202,-9.213,9.205,0.083,0.907,4.117,1.991,2552.142,0.888,0.43,550.615,1.352,0.605,,,,0.0,61.617,157.297,47.183,0.0,,205.458,14.434,,1613.199,0.78,0.0,0.0,,,1.277,2.708,7.219,3.229,1.281,0.573,0.468,0.21,0.634,0.284,,,3.607,0.0,0.006,0.023,0.009,0.0,0.004,0.006,0.006,0.0,,0.023,0.002,,0.0,,0.16,0.006,,0.011,0.0,0.0,0.0,0.0,6.054,2.856,,,23.3333333333333,48.489
Sub-Saharan Africa,Liberia,2020,5149463.5,85.16896057,12.72352505,1.066497684,0.0,0.005896708,0.0,1.035118818,1,430,Liberia,2020,LBR,5149470.0,3845664451.0,0.161,0.031,0.777,-0.155,-16.628,24.599,-0.616,-2.444,4.777,6.397,8710.327,0.151,0.202,275.042,,,,,,2.424,49.181,1016.503,,0.0,,1899.2,46.757,,548.427,0.734,0.0,0.0,,,0.637,4.653,23.822,4.626,2.485,0.483,0.513,0.1,0.616,0.12,,,2.824,0.01,0.002,0.062,,0.006,0.003,0.039,,0.0,,0.214,0.008,,0.0,,0.527,0.006,,0.054,0.0,0.001,0.001,0.0,23.961,3.279,,,12.3287671232877,71.393
Middle East-North Africa,Libya,2020,7045399.0,0.524617851,98.99452209,0.049393948,0.258001149,0.089997694,0.001906484,0.081556775,1,434,Libya,2020,LBY,7045403.0,81726075633.0,1.162,0.165,36.111,-37.668,-51.055,35.812,-37.636,-51.242,5.083,0.438,198.202,5.125,0.442,199.855,,,,,,68.898,2245.114,2306.606,,474.574,472.423,115.466,1228.092,,25645.621,2.211,4.651,0.66,8.339,1.184,6.833,7.191,-0.299,-0.042,13.217,1.876,1.786,0.254,21.958,3.117,,,180.684,0.072,0.103,0.09,,0.159,0.132,0.089,,2.563,0.193,0.013,0.208,,1.163,0.111,-0.007,0.201,,0.16,0.002,0.001,0.003,0.0,50.663,48.138,,,15.9574468085106,31.009
Europe,Lithuania,2020,2795764.5,92.15046692,0.089217022,7.080081463,0.025529502,0.018437974,0.037046697,0.599219263,1,440,Lithuania,2020,LTU,2795766.0,78545278418.0,0.557,0.199,13.5,-0.148,-1.083,11.66,-0.202,-1.704,4.171,0.148,165.872,4.829,0.172,192.044,0.622,0.222,20.536,7.346,0.261,47.05,1558.369,2820.055,184.853,12.273,285.945,1393.45,1024.74,3.507,25143.193,0.895,0.182,0.065,4.134,1.479,6.126,8.605,-1.84,-0.658,3.101,1.109,6.083,2.176,7.942,2.841,0.023,0.063,70.294,0.034,0.038,0.029,0.004,0.108,0.092,0.109,0.023,0.066,0.117,0.157,0.174,0.027,0.045,0.055,-0.041,0.073,0.015,0.101,0.0,0.001,0.002,0.0,24.057,17.128,7.037,52.125,26.9503546099291,57.363
Europe,Luxembourg,2020,630597.0,65.88789368,1.828941822,25.28631973,0.479477018,0.360089123,0.486133814,5.671145439,1,442,Luxembourg,2020,LUX,630597.0,33850190319.0,0.399,0.633,8.069,-1.681,-17.24,8.257,-1.657,-16.711,13.093,0.244,203.663,12.796,0.238,199.036,0.236,0.374,7.258,11.51,0.214,19.864,753.466,745.914,358.268,0.002,73.646,5.1,299.601,2.085,64289.547,1.198,0.0,0.0,1.469,2.33,13.138,14.402,0.188,0.297,0.566,0.898,0.301,0.477,5.902,9.36,0.099,0.062,40.541,0.025,0.023,0.021,0.002,0.046,0.044,0.029,0.045,0.0,0.03,0.001,0.051,0.016,0.0,0.02,0.004,0.054,0.015,0.024,0.0,0.0,0.0,0.0,9.082,8.285,-0.811,-10.05,30.0,55.927
Asia-Pacific,Macao,2020,683066.5,10.11777306,0.476132035,67.6139679,19.55454254,0.0,0.0,2.237584591,1,446,Macao,2020,MAC,683069.0,,0.0,0.0,1.033,-0.18,-14.804,,,,,,,1.513,,80.086,,,,,,0.0,53.352,,,0.0,1.824,,51.249,,18887.785,,0.0,0.0,0.139,0.204,1.659,1.664,,,0.05,0.073,0.054,0.078,0.894,1.309,,,12.902,0.0,0.003,,,0.0,0.003,,,0.0,0.001,,0.009,,0.0,0.002,,0.008,,0.002,0.0,0.0,0.0,0.0,1.136,1.133,,,,63.655
Sub-Saharan Africa,Madagascar,2020,28953556.5,74.2053833,1.159488678,22.29583359,0.027457755,0.063666567,0.000354294,2.247811079,1,450,Madagascar,2020,MDG,28953560.0,35031864099.0,0.058,0.002,3.788,-0.358,-8.644,33.944,-0.572,-1.657,1.172,0.969,2864.538,0.131,0.108,319.68,1.231,0.043,5.588,0.193,0.16,2.209,95.223,5058.726,12.176,0.0,,6666.976,80.838,,409.262,0.338,0.0,0.0,,,0.395,2.046,30.155,1.042,24.693,0.853,7.239,0.25,2.499,0.086,,,11.85,0.004,0.011,0.086,0.009,0.005,0.006,0.196,0.002,0.0,,0.751,0.014,,0.0,,0.668,0.023,,0.252,0.001,0.003,0.004,0.0,59.234,11.439,1.8,47.51,17.8807947019868,82.152
Sub-Saharan Africa,Malawi,2020,19533887.5,87.36235809,11.55190372,0.941342056,0.001548222,0.069153935,0.001548222,0.072149709,1,454,Malawi,2020,MWI,19533885.0,25108605204.0,0.245,0.013,1.868,0.173,10.186,13.52,0.298,2.251,0.692,0.538,1719.531,0.096,0.074,237.592,0.194,0.01,2.933,0.15,0.117,2.97,50.339,1142.19,12.019,0.0,,1205.59,35.35,,402.502,0.313,0.0,0.0,,,0.303,1.343,11.652,0.596,7.579,0.388,5.331,0.273,1.429,0.073,,,7.862,0.015,0.005,0.034,0.001,0.007,0.003,0.044,0.002,0.0,,0.136,0.006,,0.0,,0.258,0.013,,0.046,0.0,0.0,0.001,0.0,26.238,5.921,1.065,57.012,22.9166666666667,63.125
Asia-Pacific,Malaysia,2020,33889558.5,9.153184891,64.11719513,0.844678819,18.87560844,6.122179031,0.0,0.887154043,1,458,Malaysia,2020,MYS,33889554.0,783174020832.0,11.292,0.333,262.159,-15.514,-5.587,330.264,-24.264,-6.844,9.745,0.422,275.934,7.736,0.335,219.032,94.073,2.776,262.96,7.759,0.336,244.455,5920.673,18618.465,1124.667,168.871,1748.907,13686.026,2633.774,,35317.523,1.528,4.555,0.134,83.744,2.471,8.514,10.886,68.105,2.01,28.139,0.83,8.177,0.241,68.495,2.021,,,1196.895,0.695,0.746,0.832,0.659,0.563,0.349,0.721,0.143,0.912,0.713,1.541,0.447,,1.139,1.114,1.508,0.627,,0.607,0.001,0.008,0.01,0.0,368.905,288.548,0.801,0.306,14.8648648648649,51.371
Asia-Pacific,Maldives,2020,502118.5,1.646034002,94.07234955,0.068035409,1.323037267,2.541087389,0.0,0.349455655,1,462,Maldives,2020,MDV,502127.0,,0.0,0.0,1.678,-0.315,-15.809,1.678,-0.315,-15.809,3.342,,330.326,3.342,,330.326,,,,,,0.0,24.93,24.933,,0.0,,0.009,24.93,,10117.312,,0.0,0.0,,,3.743,3.745,0.0,0.0,0.15,0.299,0.052,0.104,1.678,3.342,,,5.08,0.0,0.005,0.004,,0.0,0.001,0.001,,0.0,,0.0,0.004,,0.0,,0.0,0.015,,0.001,0.0,0.0,0.0,0.0,1.881,1.879,,,4.59770114942529,37.104
Sub-Saharan Africa,Mali,2020,21713835.5,2.571752548,94.13371277,2.525307894,0.0,0.0,0.0,0.769227386,1,466,Mali,2020,MLI,21713837.0,28586570096.0,0.581,0.027,6.33,0.736,13.157,46.721,4.328,10.21,2.152,1.634,1760.693,0.292,0.221,238.551,,,,,,2.844,72.062,1579.063,,0.0,,1889.588,69.217,,1222.053,0.928,0.0,0.0,,,0.427,3.117,40.391,1.86,26.822,1.235,14.122,0.65,5.749,0.265,,,26.535,0.036,0.018,0.118,,0.007,0.004,0.061,,0.0,,0.213,0.012,,0.0,,0.894,0.053,,0.095,0.001,0.0,0.002,0.0,67.676,9.269,,,27.891156462585,50.63
Europe,Malta,2020,518206.5,88.59967804,3.643014431,5.24495554,0.606907308,1.415327311,0.286915153,0.203198671,1,470,Malta,2020,MLT,518212.0,15314071319.0,0.0,0.0,1.601,-0.048,-2.929,1.541,-0.054,-3.362,2.974,0.101,41.552,3.089,0.105,43.162,0.0,0.0,13.55,26.148,0.885,0.0,104.34,99.526,6.41,0.0,2.679,-4.981,95.214,0.038,71572.867,2.422,0.0,0.0,0.736,1.421,3.338,3.453,-0.06,-0.115,0.17,0.327,0.043,0.083,0.864,1.667,0.002,0.001,37.09,0.0,0.005,0.004,0.0,0.0,0.006,0.004,0.001,0.0,0.001,-0.001,0.016,0.0,0.0,0.01,-0.001,0.008,0.0,0.003,0.0,0.0,0.0,0.0,1.79,1.73,11.949,746.407,13.4328358208955,51.25
Sub-Saharan Africa,Mauritania,2020,4600131.0,0.233780533,99.18540192,0.106502414,0.0,0.0,0.002222912,0.472091347,1,478,Mauritania,2020,MRT,4600136.0,14289417678.0,0.0,0.0,4.782,0.168,3.647,5.08,0.21,4.306,1.104,0.355,274.319,1.039,0.335,258.214,,,,,,0.0,79.821,122.27,,1.008,,56.402,78.376,,4025.454,1.296,0.0,0.0,,,1.446,3.748,0.298,0.065,8.831,1.92,3.144,0.683,4.782,1.039,,,18.518,0.0,0.014,0.013,,0.0,0.005,0.005,,0.005,,0.006,0.013,,0.0,,0.007,0.044,,0.024,0.0,-0.0,0.0,0.0,17.242,6.65,,,20.2614379084967,25.873
Sub-Saharan Africa,Mauritius,2020,1283223.0,32.85668945,17.51187134,0.753329694,0.395097852,48.28931046,0.003313229,0.190386906,1,480,Mauritius,2020,MUS,1283231.0,24077716198.0,0.0,0.0,3.8,-0.725,-16.032,3.822,-0.614,-13.844,2.978,0.159,174.691,2.961,0.158,173.687,1.552,1.209,6.675,5.201,0.277,0.0,115.665,118.983,30.92,0.0,,0.316,84.745,,17047.527,0.909,0.0,0.0,,,3.449,3.574,0.022,0.017,0.566,0.441,0.185,0.144,2.248,1.751,,,21.876,0.0,0.011,0.01,0.011,0.0,0.007,0.005,0.004,0.0,,0.0,0.014,,0.0,,0.0,0.021,,0.005,0.0,0.0,0.0,0.0,4.586,4.425,2.875,75.665,20.0,43.111
Latin America-Caribbean,Mexico,2020,126799054.5,89.17308044,0.006285933,10.63434982,0.018263193,0.00391715,0.046796679,0.117304102,1,484,Mexico,2020,MEX,126799053.0,1880176557054.0,19.338,0.153,428.937,-39.299,-8.393,445.381,-85.0,-16.026,3.512,0.237,215.101,3.383,0.228,207.16,33.705,0.266,502.051,3.959,0.267,664.442,20195.973,34311.91,1598.34,454.797,4209.524,14235.371,13268.87,,16329.474,1.101,10.842,0.086,160.949,1.269,4.066,5.011,16.444,0.13,146.363,1.154,41.729,0.329,204.103,1.61,,,2070.562,1.191,1.22,1.123,0.236,1.53,1.189,1.329,0.203,2.457,1.717,1.603,2.25,,2.711,2.14,0.364,1.867,,1.322,0.006,0.014,0.021,0.001,635.45,515.552,73.114,17.045,48.2,41.704
Europe,Moldova,2020,3069131.0,99.53434753,0.181239218,0.233855382,0.003565817,0.0,0.019609634,0.027385129,1,498,Moldova,2020,MDA,3069135.0,22146328756.0,0.471,0.153,5.113,-0.265,-4.931,2.137,0.538,33.618,0.696,0.096,53.559,1.666,0.231,128.147,0.286,0.093,,,,35.194,1336.774,1426.837,402.142,3.596,197.037,111.576,698.806,,13000.607,1.802,0.0,0.0,1.766,0.575,2.161,2.134,-2.976,-0.97,1.983,0.646,0.972,0.317,2.59,0.844,,,39.901,0.029,0.015,0.005,0.002,0.081,0.079,0.055,0.051,0.019,0.08,0.013,0.118,,0.0,0.023,-0.066,0.024,,0.051,0.0,0.001,0.001,0.0,6.549,6.634,,,24.7524752475248,68.085
Asia-Pacific,Mongolia,2020,3290785.5,1.342484832,3.526082993,40.82786942,51.1350975,0.003035514,0.0,3.165430069,1,496,Mongolia,2020,MNG,3290786.0,41975349786.0,0.525,0.159,42.478,-4.641,-9.851,44.966,-4.253,-8.64,13.664,1.071,719.456,12.908,1.012,679.635,36.992,11.241,37.543,11.408,0.894,5.916,696.159,1901.418,577.016,0.114,,2420.268,113.113,,18992.549,1.489,0.0,0.0,,,18.567,26.768,2.489,0.756,35.705,10.85,13.429,4.081,4.961,1.508,,,62.5,0.032,0.121,0.113,0.259,0.014,0.041,0.074,0.073,0.001,,0.272,0.019,,0.0,,0.055,0.045,,0.202,0.001,0.002,0.003,0.0,88.088,61.099,-4.935,-11.618,17.3333333333333,56.048
Europe,Montenegro,2020,607935.0,76.04615784,21.30711365,1.143437266,0.0,0.0,0.0,1.50329268,1,499,Montenegro,2020,MNE,607934.0,10620037519.0,,,2.404,-0.073,-2.959,0.034,0.055,-261.229,0.055,0.003,3.265,3.954,0.226,233.065,1.513,2.489,,,,,112.451,220.697,80.682,0.039,,205.098,31.73,,16963.93,0.971,0.0,0.0,,,4.687,2.907,-2.37,-3.898,0.668,1.098,0.173,0.284,0.89,1.465,,,10.313,,0.007,0.0,0.011,,0.007,0.009,0.01,0.0,,0.023,0.005,,0.0,,-0.052,0.008,,0.011,0.0,0.0,0.0,0.0,1.767,2.85,,,22.2222222222222,43.343
Middle East-North Africa,Morocco,2020,36584208.0,0.085476898,99.67552185,0.130789146,0.0,0.0,0.006179804,0.10203585,1,504,Morocco,2020,MAR,36584208.0,285515953096.0,4.478,0.122,64.542,-4.202,-6.112,65.77,-18.277,-21.746,1.798,0.23,271.324,1.764,0.226,266.257,25.355,0.693,67.739,1.852,0.237,165.275,1737.591,3299.499,450.3,0.0,32.382,1927.761,1089.634,,6625.93,0.849,0.0,0.0,1.557,0.043,2.365,2.83,1.228,0.034,28.679,0.784,8.5,0.232,33.152,0.906,,,242.404,0.276,0.184,0.166,0.178,0.381,0.102,0.128,0.057,0.0,0.013,0.217,0.185,,0.0,0.021,0.027,0.303,,0.152,0.001,0.001,0.002,0.0,103.542,86.535,3.198,4.954,20.5063291139241,20.688
Sub-Saharan Africa,Mozambique,2020,30783688.0,61.33995056,19.427248,14.28753757,0.001603683,0.032073654,0.0,4.911586761,1,508,Mozambique,2020,MOZ,30783685.0,29502646219.0,1.046,0.034,6.34,-0.757,-10.667,40.818,-2.579,-5.943,1.326,1.384,896.946,0.206,0.215,139.326,0.077,0.003,12.172,0.395,0.413,15.201,176.496,4491.426,44.034,0.153,12.743,4281.529,104.365,,1478.296,1.542,0.0,0.0,1.661,0.054,0.686,1.574,34.477,1.12,21.214,0.689,10.561,0.343,3.556,0.116,,,45.507,0.064,0.018,0.103,0.001,0.035,0.01,0.174,0.006,0.001,0.005,0.482,0.018,,0.0,0.022,0.763,0.033,,0.153,0.001,0.001,0.002,0.0,48.448,21.11,5.832,91.975,42.4,76.87
Asia-Pacific,Myanmar,2020,53016521.5,6.135730743,3.345355749,0.058647044,89.05110168,0.439414382,0.000187185,0.969559908,1,104,Myanmar,2020,MMR,53016525.0,347785669977.0,2.29,0.043,34.588,0.971,2.888,116.172,-2.777,-2.335,2.191,0.334,739.41,0.652,0.099,220.144,4.327,0.082,,,,18.48,603.576,8690.333,51.133,6.44,159.96,16160.994,367.562,,2963.495,0.452,0.048,0.001,8.698,0.164,0.877,3.75,81.584,1.539,58.284,1.099,15.727,0.297,19.225,0.363,,,157.114,0.141,0.098,0.293,0.03,0.043,0.036,0.337,0.006,0.035,0.065,1.82,0.062,,0.012,0.116,1.806,0.176,,0.678,0.003,0.007,0.011,0.0,198.818,46.518,,,16.8253968253968,44.726
Sub-Saharan Africa,Namibia,2020,2728761.5,90.53588104,0.11899709,5.631341934,0.028122637,0.052227754,0.00401752,3.629415035,1,516,Namibia,2020,NAM,2728760.0,20505368156.0,0.469,0.172,3.44,-0.29,-7.765,8.464,0.429,5.344,3.102,0.413,443.703,1.261,0.168,180.347,0.146,0.054,8.791,3.222,0.429,3.414,73.267,183.186,3.452,0.0,,336.406,66.4,,6990.977,0.93,0.0,0.0,,,1.761,6.564,5.024,1.841,6.026,2.208,3.609,1.323,2.826,1.035,,,19.077,0.029,0.01,0.021,0.001,0.008,0.004,0.007,0.0,0.0,,0.038,0.011,,0.0,,0.111,0.026,,0.029,0.0,0.0,0.0,0.0,17.911,4.805,5.351,155.531,43.2692307692308,52.45
Asia-Pacific,Nepal,2020,28966574.5,1.758354902,5.08394146,0.001294779,8.208739281,81.18401337,0.0,3.763658047,1,524,Nepal,2020,NPL,28966580.0,86672124340.0,3.148,0.109,15.631,2.88,22.59,24.996,3.042,13.854,0.863,0.288,548.058,0.54,0.18,342.718,5.292,0.183,36.033,1.244,0.416,24.777,161.877,1523.022,42.41,0.0,,2211.057,94.689,,1574.515,0.526,0.0,0.0,,,0.792,1.988,9.365,0.323,27.653,0.955,7.02,0.242,7.19,0.248,,,45.608,0.194,0.044,0.063,0.037,0.057,0.01,0.059,0.005,0.0,,0.249,0.016,,0.0,,0.207,0.066,,0.137,0.001,0.001,0.002,0.0,57.58,22.953,20.402,130.523,32.7272727272727,27.209
