Region,Country,Year,Population,Christians,Muslims,Religiously_unaffiliated,Buddhists,Hindus,Jews,Other_religions,Level,Countrycode
Europe,Greece,2020,10699369,89.47636414,5.120216846,4.742371082,0.024676016,0.085614547,0.039002184,0.511751652,1,300
Latin America-Caribbean,Grenada,2010,111586,87.4744339,0.394664824,5.773053169,0,0.201653555,0,6.156195164,1,308
Latin America-Caribbean,Grenada,2020,116341,87.4744339,0.394664824,5.773053169,0,0.201653555,0,6.156195164,1,308
Latin America-Caribbean,Guadeloupe,2010,408812,95.81531525,0.374623805,2.507497549,0.213361651,0.506271958,0.359737664,0.223195165,1,312
Latin America-Caribbean,Guadeloupe,2020,407394,95.86734772,0.369981557,2.476424694,0.207258075,0.499920875,0.353855252,0.225208938,1,312
Asia-Pacific,Guam,2010,166521.5,94.1563797,0.030575955,1.647024751,1.062261939,0,0,3.103757381,1,316
Asia-Pacific,Guam,2020,162158,94.01657867,0.030216314,1.833122969,1.050461292,0,0,3.06962204,1,316
Latin America-Caribbean,Guatemala,2010,14500112.5,92.99160004,0.002544158,6.086092472,0.005088316,0.001237699,0.006188493,0.907251775,1,320
Latin America-Caribbean,Guatemala,2020,17357325.5,91.95026398,0.002706949,6.020942211,0.005471494,0.001324677,0.00518352,2.014109135,1,320
Sub-Saharan Africa,Guinea,2010,10396086,8.469569206,87.87899017,3.361628532,0.090003364,0,0,0.199807703,1,324
Sub-Saharan Africa,Guinea,2020,13371183,11.70807648,86.80789185,1.319620252,0.085958868,0,0,0.078451402,1,324
Sub-Saharan Africa,Guinea-Bissau,2010,1566346.5,26.19481087,53.72446442,2.414555311,0,0,0,17.66617012,1,624
Sub-Saharan Africa,Guinea-Bissau,2020,2013255,21.71777916,55.97904205,11.62231159,0,0,0,10.68086529,1,624
Latin America-Caribbean,Guyana,2010,749256.5,63.89891815,6.770055771,3.13450551,0.026740417,24.82564354,0.012033188,1.332105637,1,328
Latin America-Caribbean,Guyana,2020,807481.5,65.87551117,6.504891396,2.908345699,0.03135968,23.3990097,0.037631616,1.243247032,1,328
Latin America-Caribbean,Haiti,2010,9803294,91.05142212,0.001930329,7.634363651,0.003352677,0,0.002235118,1.306692362,1,332
Latin America-Caribbean,Haiti,2020,11243848,88.71865845,0.001857289,9.434687614,0.003183924,0,0.002122616,1.839487433,1,332
Latin America-Caribbean,Honduras,2010,8365877.5,90.11083221,0.002366603,9.565057755,0.129644707,0,0.011833014,0.180267453,1,340
Latin America-Caribbean,Honduras,2020,10119640.5,88.47241211,0.002766317,9.74390316,0.005433836,0.001284361,0.005927821,1.768275499,1,340
Asia-Pacific,Hong Kong,2010,7101617,18.57128906,0.104976788,68.19392395,11.86237717,0.104976788,0.007711249,1.154744625,1,344
Asia-Pacific,Hong Kong,2020,7490235.5,18.74611092,0.268034786,71.3547821,8.411982536,0.303390741,0.03234078,0.883353889,1,344
Europe,Hungary,2010,9979128.5,72.55506134,0.061702371,24.98338318,0.124192946,0.035343461,0.151578501,2.088737488,1,348
Europe,Hungary,2020,9749456.5,72.36884308,0.139223918,26.97590637,0.192222267,0.057621021,0.132964462,0.133217916,1,348
Europe,Iceland,2010,318158,81.28427124,0.723289132,15.87091827,0.421602756,0.125995174,0.094193012,1.479731798,1,352
Europe,Iceland,2020,366614,74.91873932,1.212648392,19.84541512,1.33994174,0.160479277,0.155474246,2.367298365,1,352
Asia-Pacific,India,2010,1243481564,2.309820175,14.26481247,0.002767197,0.698959231,79.97396088,0.000367887,2.749312162,1,356
Asia-Pacific,India,2020,1402617696,2.214620113,15.19001579,0.003259997,0.680662572,79.36618805,0.000301379,2.544952393,1,356
Asia-Pacific,Indonesia,2010,246305322,9.876195908,87.53216553,0.099378057,0.721183062,1.693956137,5.8936E-06,0.07711897,1,360
Asia-Pacific,Indonesia,2020,274814865.5,10.26230717,86.96417999,0.092005208,0.677527726,1.584296703,0.001059009,0.418626547,1,360
Asia-Pacific,Iran,2010,77420842.5,0.157182261,99.73181152,0,0,0,0.011692788,0.099316582,1,364
Asia-Pacific,Iran,2020,87723443,0.14260982,99.77310944,5.01292E-05,1.87587E-05,0.000219217,0.009242157,0.074749671,1,364
Middle East-North Africa,Iraq,2010,31045366,0.636672914,99.23440552,0.000895574,0,0.000479772,0,0.127544075,1,368
Middle East-North Africa,Iraq,2020,42116604.5,0.374980688,99.49835968,0.000798929,0,0.000493456,0,0.125364259,1,368
